,키워드,품사,textrank
0,대학,NNG,20.75437806058425
1,교육,NNG,15.082959132361474
2,협력,NNG,10.77481931995293
3,이번,NNG,9.244540381832646
4,학생,NNG,8.966186721602826
5,지역,NNG,8.703061225805527
6,연구,NNG,8.30277217174577
7,강원,NNG,8.160760547326706
8,평화,NNG,7.679710232312908
9,사회,NNG,7.6018447561061855
10,통일,NNG,6.394919665068379
11,대학교,NNG,5.959785281290524
12,사업,NNG,5.612819213494067
13,남북,NNP,5.40993998544572
14,원장,NNG,5.362068537895419
15,진행,NNG,5.338489631716608
16,지원,NNG,5.3017149797395104
17,교수,NNG,5.203237754627558
18,교류,NNG,5.131278219103508
19,참여,NNG,5.115379945471721
20,춘천,NNP,4.984462813281799
21,강원도,NNP,4.8069116813325925
22,업무,NNG,4.704433251076355
23,전문,NNG,4.656574159169242
24,총장,NNG,4.460365232172823
25,개최,NNG,4.269949698650182
26,한국,NNP,4.242844803950613
27,연구원,NNG,4.161579124298923
28,기관,NNG,3.971513730245653
29,이날,NNG,3.9517578813486147
