,키워드,품사,textrank
0,연구,NNG,62.19064182607956
1,교수,NNG,58.19503384214815
2,기후,NNG,30.626434197847004
3,학생,NNG,27.096210729948023
4,대학,NNG,25.247862046798126
5,변화,NNG,24.4124442449147
6,세계,NNG,22.388417822393826
7,분야,NNG,21.12899383411993
8,개발,NNG,20.009281709293695
9,환경,NNG,15.653027102378086
10,지구,NNG,15.158351718856077
11,우주,NNG,15.097502661691529
12,경희대,NNP,14.213283435856365
13,문제,NNG,14.147874790042092
14,과학,NNG,13.89473990148129
15,말,NNG,13.86958789118034
16,경희,NNG,13.685185071705513
17,기술,NNG,13.29566910948182
18,에너지,NNG,13.0125894029113
19,팀,NNG,12.785292572014306
20,미래,NNG,12.522709566086174
21,공학,NNG,12.29457191863895
22,교육,NNG,11.209003632035031
23,진행,NNG,10.984281606497474
24,사회,NNG,10.608548383740354
25,활용,NNG,10.549504375720952
26,가능,NNG,10.255127629788383
27,탄소,NNG,10.010307947565698
28,국제,NNG,9.778497302556891
29,기부,NNG,9.76363016071589
