,키워드,품사,textrank
0,교수,NNG,72.94796011191195
1,한양대,NNP,51.32244456570941
2,연구,NNG,41.91761514473795
3,키워드,NNP,34.12773296684057
4,대학,NNG,33.90098470388376
5,한양,NNP,33.11634767259603
6,기사,NNG,31.338915362140977
7,대학교,NNG,28.74842661147011
8,교육,NNG,26.72354708039844
9,개발,NNG,24.592059558669437
10,기술,NNG,23.433574074216168
11,관련,NNG,23.32330771086918
12,진행,NNG,22.06082305166847
13,팀,NNG,21.856153030751056
14,한양,NNG,21.73800513624709
15,학생,NNG,21.46765005903648
16,위키,NNP,15.588253142776772
17,이번,NNG,14.91690664108119
18,서울,NNP,14.839876698719152
19,코로나,NNP,14.589315553875274
20,과학,NNG,13.947783484212248
21,한국,NNP,13.557193985300751
22,사업,NNG,13.154380224671922
23,개최,NNG,13.06048005638833
24,평가,NNG,12.777771533120452
25,학회,NNG,12.742268480654834
26,지원,NNG,12.11195213926773
27,공학,NNG,12.017459336787715
28,대표,NNG,11.941941551255134
29,치료,NNG,11.893241828886667
