,키워드,품사,textrank
0,제주,NNP,46.19881414242291
1,연구,NNG,40.886710554113115
2,교수,NNG,19.387634943639238
3,센터,NNG,17.69734214057307
4,과학,NNG,17.6219477338471
5,교육,NNG,17.330456851472423
6,해양,NNG,16.494411246845782
7,지역,NNG,15.595077784996905
8,대학,NNG,13.903669644701878
9,대학교,NNG,12.755177191528828
10,개발,NNG,11.978884249379105
11,이번,NNG,11.854813607424346
12,기술,NNG,11.517989967908177
13,사업,NNG,11.199228115944203
14,사업단,NNG,10.259249554458641
15,협력,NNG,10.045805005217838
16,진행,NNG,9.841303934539448
17,지원,NNG,9.788004461816744
18,자원,NNG,9.708352231626414
19,환경,NNG,9.645513889854424
20,공동,NNG,9.37841213790669
21,분야,NNG,9.369164583382748
22,활동,NNG,9.126299478144837
23,산업,NNG,8.745890695646962
24,연구소,NNG,8.67936324997848
25,기관,NNG,8.461450322792032
26,기초,NNG,8.275618626387802
27,한국,NNP,8.232690004999295
28,생물,NNG,7.996013595230829
29,참여,NNG,7.6869756766533515
