,키워드,품사,textrank
0,협력,NNG,24.079492963703704
1,제주,NNP,24.03384631929867
2,개발,NNG,18.51877041867669
3,국제,NNG,17.670416632294927
4,연구,NNG,14.618123343202965
5,센터,NNG,12.628312731986822
6,지역,NNG,11.978177307499116
7,교육,NNG,10.5097574750406
8,공동,NNG,9.360833049983045
9,사업,NNG,8.07926986383896
10,대학,NNG,7.866078992609839
11,과학,NNG,7.148269691129453
12,대학교,NNG,6.364133061899942
13,교류,NNG,6.22525694251802
14,사회,NNG,5.867063709992605
15,이번,NNG,5.726262370224395
16,협약,NNG,5.641594245241173
17,기관,NNG,5.562753103246919
18,주대,NNG,5.501524414242235
19,한국,NNP,5.451602377143703
20,지원,NNG,5.264514335871602
21,분야,NNG,5.227683438308508
22,자원,NNG,5.18444841801602
23,학생,NNG,5.09381516463421
24,활동,NNG,5.066591101986381
25,교수,NNG,4.665059076319902
26,진행,NNG,4.455047471927491
27,기초,NNG,4.291458643683707
28,활성,NNG,4.24726097014535
29,업무,NNG,3.986403322153225
