,키워드,품사,textrank
0,학생,NNG,22.258131284851974
1,대학,NNG,22.21221733501655
2,한국,NNP,18.362943567155742
3,교육,NNG,16.40215921052289
4,교수,NNG,15.887351977992017
5,외대,NNG,15.644391036008752
6,동문,NNG,10.003853717951664
7,이번,NNG,9.622032530501725
8,총장,NNG,9.60516916128976
9,진행,NNG,9.584990626925396
10,캠퍼스,NNG,9.11323355938703
11,국제,NNG,8.551170986658029
12,외국어,NNG,8.29593581414437
13,행사,NNG,8.031876938235314
14,회장,NNG,7.755684207187823
15,학교,NNG,7.446294909540607
16,외교,NNG,7.077589105751417
17,서울,NNP,7.067471403651968
18,협력,NNG,6.251281866037984
19,지역,NNG,5.767360668308822
20,지원,NNG,5.762085774684542
21,발전,NNG,5.716294618117267
22,김인철,NNP,5.690239663407879
23,참석,NNG,5.573588583489186
24,문화,NNG,5.562091880855976
25,글로벌,NNG,5.530041719874698
26,개최,NNG,5.402217681086901
27,시험,NNG,5.150290519800617
28,사회,NNG,5.009233729930438
29,센터,NNG,4.950749353752492
