,키워드,품사,textrank
0,연구,NNG,24.876935437314277
1,교수,NNG,21.4571335153879
2,의료,NNG,20.659049944869103
3,대학,NNG,16.403988989301663
4,병원,NNG,14.605212604871268
5,디자인,NNG,14.32671871605215
6,교육,NNG,13.983841294193732
7,분야,NNG,13.50104148569395
8,기술,NNG,13.426162143193284
9,개발,NNG,12.77965798274496
10,사업,NNG,12.366010778579133
11,센터,NNG,11.591896884568092
12,기업,NNG,11.529492933462384
13,사회,NNG,10.998566052006002
14,학생,NNG,10.125481562827403
15,경험,NNG,9.90055138225543
16,세브,NNP,9.284827533105716
17,환자,NNG,9.262829601264068
18,란스,NNP,9.171643264880373
19,연세,NNG,9.118936528199647
20,지원,NNG,9.118538374780234
21,팀,NNG,8.847856567148062
22,진행,NNG,8.691344466069506
23,사용,NNG,8.338966094001275
24,문화,NNG,7.797774573668705
25,혁신,NNG,7.765998890825051
26,개최,NNG,7.598605137732484
27,대학교,NNG,7.518580427307703
28,산업,NNG,7.4642469394325435
29,기관,NNG,7.25436179026773
