,키워드,품사,textrank
0,제주,NNP,69.57873577715951
1,교육,NNG,65.49275884017598
2,대학,NNG,48.770286940760556
3,연구,NNG,28.53806142056492
4,교수,NNG,27.42181202549824
5,센터,NNG,25.984267034782523
6,지역,NNG,22.443856317804766
7,개발,NNG,21.33351031614018
8,대학교,NNG,21.059220649897526
9,지원,NNG,20.353088396115847
10,이번,NNG,18.971761140470583
11,협력,NNG,18.781406724069267
12,학생,NNG,18.696688798703065
13,사업,NNG,18.604336092280732
14,국제,NNG,16.539764496692143
15,주대,NNG,16.3653444374134
16,프로그램,NNG,15.925825533568265
17,운영,NNG,15.260833052064008
18,참여,NNG,14.116748734460382
19,과학,NNG,14.029842612442678
20,진행,NNG,13.984119191262469
21,과정,NNG,12.914536902225077
22,한국,NNP,12.237143597529888
23,사회,NNG,11.83009828237066
24,기술,NNG,11.664071312500175
25,산업,NNG,11.123061257468539
26,공학,NNG,11.072389315735114
27,분야,NNG,10.966487526494465
28,전공,NNG,10.41373978714305
29,활용,NNG,10.104594031542575
