,키워드,품사,textrank
0,학생,NNG,20.00757573913783
1,세종,NNP,13.835739979627277
2,교수,NNG,12.642658483782576
3,진행,NNG,11.737848845651172
4,팀,NNG,9.417847173185468
5,대학,NNG,9.014586343612219
6,이번,NNG,8.478350890467231
7,학술,NNG,7.247056584329849
8,발표,NNG,6.85640862529728
9,과학,NNG,6.159131458180638
10,연어,NNG,6.057994816476609
11,연구,NNG,6.047358511891615
12,개발,NNG,5.97795518666015
13,대학교,NNG,5.420105048927835
14,공학,NNG,5.372660017464674
15,참여,NNG,5.225430087663267
16,행사,NNG,5.155833688197523
17,해군,NNG,5.003262476805218
18,지원,NNG,4.871877971770175
19,대상,NNG,4.611312755865284
20,주제,NNG,4.321445774178806
21,시스템,NNG,4.193187053690017
22,생명,NNG,4.139502974103359
23,소재,NNG,4.082389303389505
24,분야,NNG,4.046767232652839
25,연구소,NNG,4.019311146767314
26,자연,NNG,3.7313117045704076
27,사업,NNG,3.703947480120827
28,종대,NNG,3.501898794916309
29,탄수화물,NNG,3.4894825506825837
