,키워드,품사,textrank
0,대학,NNG,26.97190771124949
1,본교,NNG,22.041013225864866
2,국제,NNG,21.820757640430934
3,학생,NNG,21.15978562720583
4,진행,NNG,20.87455885973039
5,교육,NNG,20.127034596584775
6,교수,NNG,19.016848865721098
7,연구,NNG,18.539274164430047
8,프로그램,NNG,17.189533047504504
9,총장,NNG,15.197812621711304
10,한국,NNP,13.118938889202688
11,협력,NNG,12.590775565358605
12,여성,NNG,12.4193186327388
13,교류,NNG,11.93522041069682
14,이화,NNG,11.896467026339783
15,활동,NNG,10.951219203626229
16,사회,NNG,10.746577757986493
17,방문,NNG,10.607925446390315
18,팀,NNG,10.57389373903351
19,참여,NNG,10.569985432897669
20,이번,NNG,10.44972049649633
21,문화,NNG,9.570498341983711
22,과학,NNG,9.560971460602874
23,봉사,NNG,9.389417979128742
24,개최,NNG,9.309302737543934
25,세계,NNG,9.148695865237533
26,주제,NNG,8.94529209715512
27,글로벌,NNG,8.805971887832532
28,미국,NNP,7.816114906770727
29,지역,NNG,7.757127197784743
