,키워드,품사,textrank
0,충북,NNP,70.20452433850959
1,지역,NNG,42.582607919479614
2,사업,NNG,34.600480857074906
3,일보,NNG,28.46494017699053
4,지원,NNG,24.81435674564366
5,청주,NNP,22.91938269835664
6,말,NNG,21.88349027000591
7,교육,NNG,21.68359667218331
8,문화,NNG,20.71810195498539
9,운영,NNG,19.62101594022223
10,이번,NNG,19.614608427366772
11,군,NNG,17.457396075642425
12,센터,NNG,16.525123871780576
13,진행,NNG,16.429148517845295
14,계획,NNG,15.663758644851727
15,시,NNG,15.235178401753915
16,주민,NNG,14.305787054849047
17,시장,NNG,14.225945536627906
18,추진,NNG,14.078276228593776
19,대회,NNG,13.819022868281335
20,활동,NNG,13.39423122746876
21,대상,NNG,13.299988656245224
22,시설,NNG,13.281651477719512
23,복지,NNG,13.150426819270209
24,도시,NNG,13.119546347155266
25,기자,NNG,12.87433936426515
26,안전,NNG,12.841384234575855
27,사회,NNG,12.821360885566824
28,참여,NNG,12.774631529881889
29,학교,NNG,12.73886814398377
