,키워드,품사,textrank
0,교수,NNG,79.96007751127914
1,연구,NNG,77.80988783185572
2,대학,NNG,63.65032426935121
3,교육,NNG,54.62596239620139
4,본교,NNG,44.00413354164348
5,전공,NNG,38.60290289810879
6,학생,NNG,37.08579201033231
7,진행,NNG,35.31390024302555
8,이화,NNG,33.94132690240088
9,지원,NNG,33.65286400081623
10,기술,NNG,31.567684612480065
11,사업,NNG,29.665853876611287
12,사회,NNG,29.18861116826328
13,과학,NNG,28.760787706250134
14,분야,NNG,26.30665139439578
15,한국,NNP,25.620095290977627
16,프로그램,NNG,24.816197519774608
17,이번,NNG,23.48902188981112
18,개발,NNG,23.44318575724271
19,대학원,NNG,22.827593888692014
20,팀,NNG,22.003962563194815
21,센터,NNG,21.94269431055049
22,참여,NNG,20.293661438365696
23,과정,NNG,20.18919498363925
24,공학,NNG,20.050263549135177
25,행사,NNG,19.64774352026632
26,선정,NNG,18.957787948985427
27,국제,NNG,18.955095820572236
28,융합,NNG,18.26416873426032
29,개최,NNG,17.933865542936154
