,키워드,품사,textrank
0,연구,NNG,42.1531802546622
1,교수,NNG,32.38736503196492
2,전북,NNP,23.534982175524384
3,기술,NNG,22.573942076288823
4,개발,NNG,17.14272807019671
5,이번,NNG,16.818227946489564
6,대학,NNG,15.444399349832535
7,탄소,NNG,13.870609948398855
8,사업,NNG,13.552546679805717
9,분야,NNG,12.965775055261327
10,지역,NNG,12.089818463854062
11,수소,NNG,10.830417628642875
12,환경,NNG,10.53766242567299
13,지원,NNG,10.121040449616048
14,공학,NNG,9.871893298401186
15,학생,NNG,9.844936948062545
16,산업,NNG,9.557956040671888
17,한국,NNP,9.043391619425412
18,소재,NNG,8.995293236554941
19,교육,NNG,8.925388346037183
20,논문,NNG,8.652091705481393
21,우수,NNG,8.523026347166624
22,활용,NNG,8.045858754905677
23,생산,NNG,7.747988152325967
24,세계,NNG,7.612178334306213
25,가능,NNG,7.517260177695901
26,대학교,NNG,7.394219093300442
27,기업,NNG,7.339492555095265
28,북대,NNG,7.267114157050958
29,동물,NNG,7.162806608876608
