,키워드,품사,textrank
0,협력,NNG,13.290181040165244
1,대학,NNG,11.140100975035754
2,교수,NNG,10.341729716444501
3,한양대,NNP,10.203266242008239
4,기술,NNG,9.511293411415691
5,연구,NNG,8.99121219325826
6,사업,NNG,7.918621076948963
7,키워드,NNP,6.3078860984919976
8,기사,NNG,6.225344252304998
9,한양,NNP,6.211256262305568
10,산학,NNG,6.009978103640525
11,개발,NNG,6.009954265908588
12,분야,NNG,5.937004423075906
13,대학교,NNG,5.586221575901
14,산업,NNG,5.509199553951009
15,관련,NNG,5.299790523275612
16,기업,NNG,4.9777384043892745
17,지원,NNG,4.802967828220953
18,한국,NNP,4.5355600688855615
19,포럼,NNG,4.186292760248549
20,개최,NNG,4.110169981545301
21,공동,NNG,3.943818445924429
22,선정,NNG,3.819762942787858
23,이번,NNG,3.684615570537652
24,산학연,NNG,3.60166335249523
25,국제,NNG,3.479166490769637
26,백신,NNG,3.366810150225185
27,추진,NNG,3.359828165365659
28,한양,NNG,3.328821532361019
29,교육,NNG,3.2668379031337977
