,키워드,품사,textrank
0,전남,NNP,32.84008684660141
1,남대,NNG,23.932194018622454
2,대학교,NNG,23.432948737069403
3,연구,NNG,22.88967753305124
4,대학,NNG,22.145271929789544
5,수산,NNG,16.186092624944553
6,교수,NNG,13.609662601846498
7,기술,NNG,12.281984917241774
8,총장,NNG,11.567159050226445
9,여수,NNP,10.000958701856662
10,해양,NNG,9.894302266230557
11,사업,NNG,9.77383399750047
12,교육,NNG,9.538310680280482
13,광주,NNP,9.3774240315579
14,캠퍼스,NNG,9.037978903042971
15,지원,NNG,9.010256302532092
16,학생,NNG,8.623545504257182
17,선정,NNG,7.983272160842149
18,말,NNG,7.918041544003387
19,개발,NNG,7.814195750802351
20,세계,NNG,7.552717622407595
21,지역,NNG,7.507941092374994
22,양성,NNG,6.5504041918954234
23,센터,NNG,6.462108176691523
24,분야,NNG,6.098893316990246
25,기부,NNG,6.025348163283729
26,대표,NNG,5.753383312392512
27,기관,NNG,5.529660369908575
28,과학,NNG,5.444399057544862
29,환경,NNG,5.414624417355343
