,키워드,품사,textrank
0,협력,NNG,32.60841050931673
1,대학,NNG,32.27191403175814
2,지역,NNG,19.787858491711017
3,교육,NNG,17.843624462428608
4,개발,NNG,17.792378104588984
5,사업,NNG,17.746360550688088
6,국제,NNG,16.387783506540284
7,강원,NNG,12.33342863529473
8,연구,NNG,12.269010462659732
9,센터,NNG,11.115734710218264
10,이번,NNG,10.854248886171291
11,대학교,NNG,10.832200505732935
12,교류,NNG,9.479905650604229
13,기관,NNG,8.592288068270893
14,지원,NNG,8.427493867811167
15,강원,NNP,8.365962289002871
16,학생,NNG,7.7668418470430725
17,발전,NNG,7.116211818753592
18,참여,NNG,7.052575119545844
19,사회,NNG,6.756764697850921
20,협약,NNG,6.354537000613413
21,공동,NNG,6.277370488226272
22,분야,NNG,6.020873056963319
23,강원도,NNP,6.020348766766033
24,한국,NNP,5.960551449037669
25,진행,NNG,5.874802542871361
26,혁신,NNG,5.86435720523331
27,운영,NNG,5.848470989181027
28,총장,NNG,5.655975971023966
29,지속,NNG,5.637197875491402
