,키워드,품사,textrank
0,전남,NNP,87.22855214256978
1,대학,NNG,74.50933316116382
2,남대,NNG,62.32565952226974
3,대학교,NNG,54.724401818845976
4,지역,NNG,46.98042281663679
5,학생,NNG,39.47089135773771
6,교육,NNG,35.687034341819775
7,지원,NNG,34.194998581085926
8,사업,NNG,30.52459733026799
9,광주,NNP,29.412387549657645
10,총장,NNG,27.72378138543067
11,교수,NNG,27.488549361269182
12,연구,NNG,27.218056248341085
13,기술,NNG,23.55304563591335
14,캠퍼스,NNG,22.311548360983785
15,센터,NNG,20.176307680009035
16,여수,NNP,20.1197211398509
17,혁신,NNG,19.817851900247494
18,사회,NNG,19.435730559197264
19,산업,NNG,17.978836867321448
20,협력,NNG,17.00840254125417
21,말,NNG,16.061250923899504
22,선정,NNG,15.910657911400273
23,문화,NNG,15.751394037537466
24,기업,NNG,15.0065498367439
25,양성,NNG,13.722048210628731
26,분야,NNG,13.348254007887682
27,운영,NNG,12.977387738818658
28,참여,NNG,12.960727946942761
29,문,NNG,12.895798492629876
