,키워드,품사,textrank
0,교수,NNG,133.4611717976645
1,대학,NNG,130.80997238695417
2,연구,NNG,119.00938212225694
3,학생,NNG,100.73533249642095
4,교육,NNG,74.71068290380124
5,경희,NNG,52.53613936230206
6,세계,NNG,41.135298540894446
7,말,NNG,39.29423593765907
8,분야,NNG,37.77728402143339
9,경희대,NNP,37.03121116412537
10,사회,NNG,35.89003127343386
11,미래,NNG,32.07824486801462
12,동문,NNG,32.022068429172236
13,개발,NNG,29.910931918763012
14,국제,NNG,28.61245518685633
15,진행,NNG,27.396106673032627
16,기부,NNG,24.841764326778208
17,사업,NNG,24.289088459990325
18,한국,NNP,23.92313111749114
19,생각,NNG,23.78853843981182
20,지원,NNG,23.692125078029008
21,기술,NNG,23.623048689757344
22,과학,NNG,23.444702323980568
23,강의,NNG,22.77330599727299
24,의학,NNG,22.315661175390044
25,참여,NNG,21.22168564072445
26,평가,NNG,21.16906437969791
27,학과,NNG,21.031362994043505
28,가능,NNG,20.65039002806151
29,선정,NNG,20.519499567590344
