,키워드,품사,textrank
0,연구,NNG,11.846595178032649
1,협력,NNG,7.1029681481806275
2,교육,NNG,6.720448958520994
3,기술,NNG,5.984139396483882
4,대학,NNG,5.557752439533011
5,바이오,NNP,5.5481739476063
6,의료,NNG,4.972302833340361
7,대학교,NNG,4.969950881832458
8,국제,NNG,4.85358094603914
9,기관,NNG,4.518279443620562
10,공동,NNG,4.458510423363314
11,교수,NNG,4.205720147677652
12,과학,NNG,4.122311904133322
13,분야,NNG,3.795185141229839
14,상호,NNG,3.495597159646851
15,동문,NNG,3.3055404342836354
16,진행,NNG,3.2754383201968698
17,개최,NNG,3.26262360444582
18,미래,NNG,3.1941877079497925
19,캠퍼스,NNG,3.1382452949397845
20,개발,NNG,3.0192809673870795
21,센터,NNG,2.9514897070310453
22,중국,NNP,2.9253522765628897
23,강연,NNG,2.915863063585403
24,대표,NNG,2.86390088101007
25,원장,NNG,2.849997514488214
26,협약,NNG,2.8418742214122656
27,이번,NNG,2.804195383759997
28,인력,NNG,2.7917550913112317
29,보건,NNG,2.791717355523987
