,키워드,품사,textrank
0,교수,NNG,34.80897211071463
1,연구,NNG,26.102860932361214
2,한양대,NNP,21.19442389034355
3,기술,NNG,17.62797529783347
4,키워드,NNP,14.015392206132063
5,개발,NNG,13.199695356218164
6,기사,NNG,13.197239732971092
7,대학교,NNG,12.987992879603981
8,한양,NNP,12.799710404745955
9,환경,NNG,12.063790856969351
10,공학,NNG,11.723594017968386
11,진행,NNG,11.108335362124848
12,관련,NNG,10.919450773824805
13,팀,NNG,10.767676553557704
14,과학,NNG,10.334701899471463
15,사용,NNG,10.13736777679853
16,박물관,NNG,9.473833379222947
17,한국,NNP,9.318611739872143
18,학생,NNG,7.7249251620467945
19,수소,NNG,7.6347563967984895
20,이번,NNG,7.478214741811885
21,대학,NNG,7.108279582366963
22,활용,NNG,6.932565464670838
23,분야,NNG,6.839585323377833
24,소재,NNG,6.768734483721856
25,우주,NNG,6.760548188069832
26,위키,NNP,6.474362771218582
27,촉매,NNG,6.223688087734611
28,탄소,NNG,6.143927427617443
29,한양,NNG,6.1233167950646115
