,키워드,품사,textrank
0,대학,NNG,16.32659553144545
1,지역,NNG,16.19895730968611
2,경북,NNP,16.004990903629164
3,협력,NNG,9.104717588517271
4,사업,NNG,8.905695816639826
5,교육,NNG,8.893655734185648
6,혁신,NNG,7.807841864854647
7,연구,NNG,7.482312827931892
8,사회,NNG,6.798714114386184
9,기술,NNG,6.458616084332602
10,공동,NNG,6.235425896618734
11,대구,NNP,5.858360881747248
12,협약,NNG,5.142809233654168
13,분야,NNG,5.052193978088434
14,교류,NNG,5.025705496664104
15,이번,NNG,5.0015747680320395
16,지원,NNG,4.4504335497971566
17,기관,NNG,4.307671245550523
18,운영,NNG,4.1209405758806685
19,데이터,NNG,4.076490778130849
20,총장,NNG,3.977048842654975
21,학생,NNG,3.964796370641996
22,상호,NNG,3.9380495333651107
23,발전,NNG,3.908919860240976
24,프로그램,NNG,3.8876892699599357
25,추진,NNG,3.873254767321614
26,산업,NNG,3.785437477850428
27,과학,NNG,3.536808002255402
28,양성,NNG,3.486154185157419
29,산학,NNG,3.3773215739308844
