,키워드,품사,textrank
0,대학,NNG,63.00135590885771
1,연구,NNG,60.22326013865715
2,전북,NNP,58.6646512040116
3,교수,NNG,53.083954704774136
4,학생,NNG,52.66730934634704
5,교육,NNG,47.65815260971009
6,지역,NNG,30.842400574616057
7,지원,NNG,26.874267860019994
8,사업,NNG,24.991416915067106
9,이번,NNG,21.76225300181432
10,분야,NNG,21.05969313524655
11,기술,NNG,21.034349421330592
12,북대,NNG,19.49963756540988
13,개발,NNG,19.227902123573035
14,대학교,NNG,18.928560195272667
15,코로나,NNP,18.313883670900207
16,한국,NNP,17.370240218462943
17,사회,NNG,15.938793223532318
18,과정,NNG,15.839708455354263
19,센터,NNG,15.769095038131946
20,평가,NNG,15.60439719816493
21,공학,NNG,15.173195738185596
22,우수,NNG,15.136389974670077
23,운영,NNG,14.868854685967758
24,산업,NNG,14.678864747265273
25,양성,NNG,14.014810035417296
26,진행,NNG,13.760494693068576
27,참여,NNG,13.575302982662274
28,총장,NNG,13.133835422690376
29,과학,NNG,13.057900158584307
