,키워드,품사,textrank
0,김대중,NNP,12.866188918993963
1,한국,NNP,9.370188645658795
2,어린이,NNG,8.40722808261408
3,방정환,NNP,6.2107232046401455
4,민주,NNG,5.911454300577799
5,진행,NNG,5.7138911161176935
6,공개,NNG,5.04728634474465
7,사회,NNG,4.441185911696599
8,중국,NNP,4.2316258055582265
9,사진,NNG,4.200825268259989
10,교수,NNG,4.045271446262155
11,조사,NNG,4.019573553509857
12,재단,NNG,4.007932235880115
13,정동년,NNP,3.935400774779559
14,의원,NNG,3.819682075281892
15,미국,NNP,3.790229263403037
16,관련,NNG,3.7260686635353477
17,선생,NNG,3.69996182584018
18,연구,NNG,3.6309753665419153
19,강연,NNG,3.5938354633682996
20,운동,NNG,3.476765169399446
21,이번,NNG,3.4046061947207087
22,사료,NNG,3.3001950084619063
23,문제,NNG,3.2776668464992667
24,동문,NNG,2.9488474462554515
25,이후,NNG,2.860468233543999
26,당시,NNG,2.8594969242207884
27,정치,NNG,2.7844658500191035
28,연구소,NNG,2.73683036362384
29,때,NNG,2.708646071616535
