,키워드,품사,textrank
0,대학,NNG,71.12260515357066
1,충남,NNP,57.804167764654885
2,지역,NNG,57.00203256662658
3,연구,NNG,42.26902410084659
4,교수,NNG,41.7543471096012
5,교육,NNG,34.351911993588686
6,학생,NNG,32.18338074924357
7,기술,NNG,31.621359086461435
8,지원,NNG,29.562153002406372
9,이번,NNG,29.385286940455746
10,업,NNG,28.623882615331222
11,협력,NNG,20.494725433606654
12,혁신,NNG,20.067467393248712
13,참여,NNG,19.58808282551842
14,팀,NNG,18.777055844727922
15,양성,NNG,18.582722872783215
16,과학,NNG,18.261656334643245
17,센터,NNG,17.919135534296196
18,한국,NNP,17.205740338850056
19,개발,NNG,17.077319779543462
20,창업,NNG,16.951371961120476
21,개최,NNG,16.88592581686154
22,행,NNG,16.872581026920876
23,대학교,NNG,16.55311029329433
24,대전,NNP,16.195962661227448
25,기업,NNG,16.151357332612434
26,분야,NNG,16.05242605744992
27,대표,NNG,15.982966461304771
28,공학,NNG,15.392076324185142
29,우수,NNG,15.371343942053754
