,키워드,품사,textrank
0,대학교,NNG,9.449435959082319
1,대학,NNG,7.836297455214451
2,서울,NNP,6.177431875430413
3,시립,NNG,5.117214120176082
4,도시,NNG,4.970006613298309
5,디지털,NNG,4.650185624278424
6,전문,NNG,4.615445563198236
7,대학원,NNG,3.9416869097211693
8,청렴도,NNG,3.4634851100307
9,조세,NNG,3.370946463763583
10,사회,NNG,3.155389027693526
11,한국,NNP,2.9319944757879397
12,변호사,NNG,2.809479704979145
13,관련,NNG,2.6598572108184055
14,연구소,NNG,2.636690222604141
15,교수,NNG,2.6236289233420234
16,세무,NNG,2.6083941957732173
17,계약,NNG,2.605638654774939
18,공간,NNG,2.580912636921164
19,교육,NNG,2.578142152423747
20,뉴욕,NNP,2.55254130182061
21,총장,NNG,2.392745145809327
22,연구,NNG,2.3737563676786144
23,분야,NNG,2.2927693938553784
24,발전,NNG,2.20523790376708
25,법학,NNG,2.0921257783571323
26,지원,NNG,2.0429959433268317
27,참여,NNG,2.024278685793966
28,사업,NNG,2.0036174393665007
29,전시회,NNG,1.9267048997385756
