,키워드,품사,textrank
0,부산대,NNP,29.58159185087993
1,대학,NNG,22.088953507927332
2,교수,NNG,12.990637336871297
3,연구,NNG,10.338888651383249
4,학생,NNG,9.582500741056743
5,로스쿨,NNP,9.577655535201826
6,부산,NNP,9.45050947060078
7,지역,NNG,9.360286605689673
8,전국,NNG,8.24127159993091
9,교육,NNG,8.107398353429016
10,부마민주항쟁,NNP,7.725496279604472
11,한국,NNP,7.697959686861757
12,사회,NNG,7.020418079807223
13,민주,NNG,6.934304957669601
14,이번,NNG,6.776970291415748
15,개최,NNG,6.7437598493724575
16,국가,NNG,6.706446022296068
17,총장,NNG,6.3548377839145775
18,팀,NNG,6.224102966919864
19,행사,NNG,5.786239776042179
20,국립,NNG,5.298198677022942
21,지원,NNG,5.290303948440523
22,법학,NNG,5.2829985195523115
23,올해,NNG,5.27842168725646
24,참여,NNG,5.2478014391730365
25,역사,NNG,5.194798096800713
26,전문,NNG,5.104120274921538
27,법,NNG,5.025234439321106
28,기념,NNG,5.004193659288767
29,발전,NNG,4.963059315254777
