,키워드,품사,textrank
0,전남,NNP,49.88418850248747
1,대학,NNG,31.992371761204573
2,남대,NNG,28.723735565249147
3,대학교,NNG,28.418614777045025
4,교수,NNG,22.08437340694154
5,총장,NNG,21.544230776603094
6,민주,NNG,18.442152290467263
7,광주,NNP,13.737680118699789
8,지역,NNG,13.518869717120864
9,교육,NNG,11.493620546498121
10,학생,NNG,11.493157817417853
11,길,NNG,9.638690256478153
12,역사,NNG,9.59825277974127
13,문화,NNG,9.574608856293656
14,회장,NNG,9.449818975640403
15,사회,NNG,8.25596393284962
16,연구,NNG,7.961710850598429
17,여수,NNP,7.231865556652077
18,정병석,NNP,7.1843600082699375
19,선정,NNG,6.887642424716939
20,캠퍼스,NNG,6.793714705203557
21,대학원,NNG,6.770590470270862
22,기념,NNG,6.676759360753653
23,인권,NNG,6.591453561914226
24,민주,NNP,6.4630370991486545
25,활동,NNG,6.061351440006495
26,참석,NNG,5.938655055560237
27,운동,NNG,5.936263053821847
28,정성택,NNP,5.9277255529599024
29,미래,NNG,5.913712520194125
