,키워드,품사,textrank
0,대학,NNG,59.54546525698916
1,교수,NNG,59.246326293373684
2,연구,NNG,53.87619398153711
3,학생,NNG,53.18604295113799
4,학교,NNG,40.461318827361175
5,교육,NNG,38.255279278936385
6,팀,NNG,22.198642948036568
7,이번,NNG,22.154073158312222
8,기술,NNG,20.946222610681723
9,개발,NNG,19.824202098736414
10,진행,NNG,19.810873652965025
11,지원,NNG,19.759166141758705
12,과학,NNG,18.900834432500517
13,대학원,NNG,18.567172720602564
14,분야,NNG,18.402307380291752
15,총장,NNG,18.236097885229206
16,공학,NNG,17.97694658617155
17,사업,NNG,16.930788441003614
18,논문,NNG,16.80116329987261
19,우수,NNG,15.119120155527757
20,학과,NNG,15.065741133448356
21,참여,NNG,14.298505538395407
22,프로그램,NNG,14.169318714373352
23,평가,NNG,13.851369574765666
24,학기,NNG,13.589336373096568
25,선정,NNG,13.17013601264823
26,한국,NNP,12.884474260905282
27,과정,NNG,12.454069670828769
28,사회,NNG,12.392071232949569
29,박형주,NNP,11.713191348831982
