,키워드,품사,textrank
0,대학,NNG,108.67418599986813
1,연구,NNG,107.66681416494731
2,교수,NNG,98.74370406096232
3,학생,NNG,98.43717960837775
4,교육,NNG,53.84131898643362
5,경희,NNG,52.79663343176155
6,세계,NNG,43.12816632733429
7,기술,NNG,39.34388172703895
8,말,NNG,37.838560162442676
9,경희대,NNP,37.253696041295086
10,사회,NNG,37.0267400938073
11,분야,NNG,36.88271425333425
12,미래,NNG,36.83796688165711
13,개발,NNG,34.68085523536005
14,사업,NNG,32.94151967551369
15,창업,NNG,29.834063707138146
16,팀,NNG,27.82622972722924
17,지원,NNG,27.357230315412448
18,한국,NNP,26.606891587105668
19,진행,NNG,25.213384554074274
20,학과,NNG,23.700385487962155
21,산업,NNG,23.205612253022505
22,공학,NNG,22.68634396433245
23,국제,NNG,22.15727864468369
24,동문,NNG,22.150997088104464
25,활용,NNG,21.27259584633772
26,가능,NNG,21.183232135018304
27,캠퍼스,NNG,20.36883645186472
28,문제,NNG,20.29641383641746
29,참여,NNG,20.16351407479627
