,키워드,품사,textrank
0,충북,NNP,28.312989919033875
1,지역,NNG,20.57620084288035
2,일보,NNG,15.222141359848374
3,축제,NNG,14.602784605633262
4,군,NNG,11.62263105243675
5,말,NNG,11.20894018397454
6,사업,NNG,10.895058557000098
7,단양,NNG,10.219005753336852
8,여름,NNG,9.840342024749132
9,이번,NNG,9.781194430712643
10,운영,NNG,9.780104092968477
11,시설,NNG,9.054423603855279
12,때,NNG,8.856335710462922
13,청주,NNP,8.58112158799709
14,시장,NNG,8.176230488730514
15,행사,NNG,8.098367301172269
16,곳,NNG,8.043178888452923
17,충주,NNP,7.938731572979768
18,체험,NNG,7.836483715751549
19,주민,NNG,7.8124605829963745
20,길,NNG,7.811275540294704
21,안전,NNG,7.762536154981374
22,진행,NNG,7.517686514446078
23,점검,NNG,7.2581675247423245
24,대상,NNG,7.221788378598153
25,물,NNG,7.215975531010384
26,괴산,NNG,7.16712044796429
27,시,NNG,7.1649840374011555
28,사람,NNG,7.1177295424884734
29,문화,NNG,6.898982632426914
