,키워드,품사,textrank
0,대학,NNG,65.29108159012782
1,세계,NNG,51.40138131592245
2,평화,NNG,44.27890504663838
3,경희,NNG,40.95867014863195
4,교수,NNG,38.987793805558724
5,미래,NNG,38.793529211721285
6,학생,NNG,35.35840522329495
7,사회,NNG,32.36139255710908
8,교육,NNG,31.175634611773482
9,말,NNG,25.216820909849293
10,총장,NNG,24.946189145108566
11,연구,NNG,20.987238334220205
12,시민,NNG,20.509546716020946
13,정치,NNG,18.438620286268502
14,문제,NNG,18.397121417908963
15,경희대,NNP,17.815714469133507
16,변화,NNG,17.443221208967636
17,지구,NNG,17.176288312070493
18,인류,NNG,16.279912885363284
19,국제,NNG,15.343518186400429
20,기후,NNG,14.94813347326705
21,날,NNG,14.623424810186554
22,위기,NNG,14.257537937813874
23,학교,NNG,14.173601924978717
24,가능,NNG,13.673320383910198
25,시대,NNG,13.607818481311119
26,한국,NNP,12.546396833144767
27,구성원,NNG,12.51010415496324
28,동문,NNG,12.397057761237988
29,진행,NNG,11.637620801721484
