,키워드,품사,textrank
0,경북,NNP,45.30745507448566
1,연구,NNG,45.136822688113995
2,대학,NNG,41.45352538191161
3,교수,NNG,34.15592350009658
4,교육,NNG,24.71888270307893
5,사업,NNG,17.607599804002817
6,개발,NNG,16.34253736410192
7,지원,NNG,16.085652953340016
8,학생,NNG,15.555942518949188
9,분야,NNG,15.520571472828875
10,이번,NNG,15.267537336416412
11,기술,NNG,14.253114208347657
12,과학,NNG,12.694416229576333
13,팀,NNG,11.164891165855014
14,선정,NNG,11.085960907689108
15,과정,NNG,10.875123964572103
16,대학교,NNG,10.771999911073003
17,지역,NNG,10.37286243538835
18,센터,NNG,10.176733367428252
19,세계,NNG,10.121816504090226
20,한국,NNP,9.853304559267968
21,우수,NNG,9.715079811062745
22,논문,NNG,9.318862870205436
23,발표,NNG,9.169879712748706
24,진행,NNG,8.949402420505924
25,코로나,NNP,8.790210832145826
26,대구,NNP,8.268794337099012
27,총장,NNG,8.02301839850171
28,학술,NNG,7.8794605309495624
29,국제,NNG,7.680430119974704
