,키워드,품사,textrank
0,교수,NNG,34.37289993989502
1,연구,NNG,23.82756637413418
2,대학,NNG,22.6492705385668
3,여성,NNG,20.19029764713508
4,한국,NNP,20.103010028104457
5,본교,NNG,20.08674296711588
6,교육,NNG,20.064543482555624
7,사회,NNG,19.2968560446853
8,이화,NNG,14.375893840088258
9,총장,NNG,13.634691089772845
10,국제,NNG,12.066427791793878
11,발전,NNG,11.51242446452935
12,대학원,NNG,11.175666637020347
13,진행,NNG,10.432467577618088
14,전문,NNG,10.141608249688936
15,분야,NNG,10.061083565345836
16,학회,NNG,9.484723442412266
17,문화,NNG,9.351792452711226
18,이번,NNG,9.035242214563864
19,활동,NNG,8.882569961552525
20,수상,NNG,8.360045438880334
21,시험,NNG,8.219209217050546
22,학생,NNG,8.066880480719853
23,법학,NNG,7.984467270807388
24,전공,NNG,7.747536152716299
25,통일,NNG,7.518439633235454
26,과학,NNG,7.508503843783937
27,기여,NNG,7.345762269642338
28,학과,NNG,7.208070525595289
29,개최,NNG,7.199369145645091
