,Unnamed: 0,키워드,품사,textrank
8,8,교류,NNG,8.041436776235585
15,15,해외,NNG,5.563765855385301
25,25,보건,NNG,3.1856453712552626
26,26,현지,NNG,3.1674019047707174
27,27,글로벌,NNG,3.1421809464395176
29,29,체결,NNG,2.992822025052717
